                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.5177,                 1.9395,                 1.0458,                 0.3696,                0.14881,                0.13986,                 0.0472,                 2.5771,                 1.5187,                0.97366,               0.070116,              0.0033205,              0.0033205
                      1,                 2.4939,                 1.6057,                 1.0025,                0.26267,                0.18471,                0.16394,                0.05897,                 2.4445,                 1.5641,                 0.9796,               0.040061,              0.0065989,              0.0065989
                      2,                 2.5962,                 1.6976,                  1.019,                0.30956,                0.19757,                0.17739,                0.05977,                 2.4855,                 1.7599,                0.99264,               0.009951,              0.0098223,              0.0098223
                      3,                 2.5806,                 1.6851,                  1.024,                0.41864,                0.17747,                0.18225,                0.06602,                 2.4259,                 1.7757,                0.97782,              0.0097525,              0.0097525,              0.0097525
                      4,                 2.5365,                 1.6239,                 1.0065,                0.28383,                0.18081,                0.18074,                0.06352,                 2.4162,                 1.4904,                0.96808,              0.0097525,              0.0097525,              0.0097525
                      5,                 2.4684,                 1.5949,                0.99942,                0.39275,                 0.1956,                0.20358,                0.07617,                 2.3412,                 1.4263,                0.96427,                0.00967,                0.00967,                0.00967
                      6,                 2.4354,                 1.5548,                0.99028,                0.40051,                0.21344,                0.21012,                0.07705,                 2.3587,                 1.5117,                0.96133,              0.0095875,              0.0095875,              0.0095875
                      7,                 2.4032,                  1.513,                0.98649,                0.33107,                0.26215,                0.23618,                0.09055,                 2.2545,                 1.3674,                0.94637,               0.009505,               0.009505,               0.009505
                      8,                 2.4025,                  1.509,                0.97282,                0.33065,                0.24621,                0.23381,                0.08791,                 2.2803,                 1.3409,                0.95335,              0.0094225,              0.0094225,              0.0094225
                      9,                 2.3664,                 1.4772,                0.97188,                0.29583,                0.24593,                0.22436,                0.08506,                 2.2549,                  1.355,                0.94572,                0.00934,                0.00934,                0.00934
                     10,                 2.3666,                  1.466,                0.96655,                0.32368,                0.25734,                0.23965,                  0.092,                 2.2414,                  1.328,                0.94196,              0.0092575,              0.0092575,              0.0092575
                     11,                 2.3264,                 1.4379,                0.96254,                0.32144,                0.25606,                0.23581,                0.09034,                 2.2531,                 1.3768,                0.94721,               0.009175,               0.009175,               0.009175
